N,P,t_serial,t_parallel,speedup,efficiency,max_error
64,1,1.690500000000e-05,7.262500000000e-05,0.232771,0.232771,0.000000e+00
64,2,1.190400000000e-05,1.125380000000e-04,0.105778,0.052889,0.000000e+00
64,4,1.450500000000e-05,4.460530000000e-04,0.032519,0.008130,0.000000e+00
64,8,1.890700000000e-05,9.395220000000e-04,0.020124,0.002516,0.000000e+00
128,1,5.041800000000e-05,1.711580000000e-04,0.294570,0.294570,0.000000e+00
128,2,6.726100000000e-05,4.241210000000e-04,0.158589,0.079295,0.000000e+00
128,4,7.754000000000e-05,4.993650000000e-04,0.155277,0.038819,0.000000e+00
128,8,8.841700000000e-05,1.660858000000e-03,0.053236,0.006654,0.000000e+00
256,1,2.616580000000e-04,6.847810000000e-04,0.382105,0.382105,0.000000e+00
256,2,3.573600000000e-04,1.237835000000e-03,0.288698,0.144349,0.000000e+00
256,4,2.333170000000e-04,8.159090000000e-04,0.285960,0.071490,0.000000e+00
256,8,1.867130000000e-04,1.067388000000e-03,0.174925,0.021866,0.000000e+00
512,1,1.203905000000e-03,5.839598000000e-03,0.206162,0.206162,0.000000e+00
512,2,1.275258000000e-03,3.495257000000e-03,0.364854,0.182427,0.000000e+00
512,4,1.336132000000e-03,5.723440000000e-03,0.233449,0.058362,0.000000e+00
512,8,9.496320000000e-04,4.839571000000e-03,0.196222,0.024528,0.000000e+00
1024,1,6.158139000000e-03,2.912883700000e-02,0.211410,0.211410,0.000000e+00
1024,2,3.762802000000e-03,8.355884000000e-03,0.450318,0.225159,0.000000e+00
1024,4,4.018473000000e-03,1.142989800000e-02,0.351576,0.087894,0.000000e+00
1024,8,2.194511000000e-03,2.146284200000e-02,0.102247,0.012781,0.000000e+00
2048,1,2.064818600000e-02,1.247596910000e-01,0.165504,0.165504,0.000000e+00
2048,2,4.473493000000e-02,5.998647300000e-02,0.745750,0.372875,0.000000e+00
2048,4,2.207283400000e-02,3.438910600000e-02,0.641855,0.160464,0.000000e+00
2048,8,1.899994900000e-02,3.820037500000e-02,0.497376,0.062172,0.000000e+00
